item_id,title,price_jpy,buyout_jpy,detail_url,image_url,image_preview,source_page,title_en
d1112925567,※　サンバー　KV3　KV4　1.5インチ　１台分　リフトアップサス　リフトアップコイル　 税込新品　代引き有り.,,14000,https://500yenshop.com/en/yahoo-auctions/detail?id=d1112925567,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0411/users/b20fb02d7ac56b37d4e222eb92723d85e9b4e659/i-img600x379-1699330884lmjxvq7.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F2),IMAGE(F2,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B2,""ja"",""en"")"
r1141622689,◆　サンバー　KV3　KV4　1.5インチ　リフトアップコイル　リフトアップサス　税込！新品即決！代引可！,,14000,https://500yenshop.com/en/yahoo-auctions/detail?id=r1141622689,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0506/users/3ecdad364453c882b416eb1064806c395095bbde/i-img655x829-1719068675eqni857.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F3),IMAGE(F3,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B3,""ja"",""en"")"
j1215469043,_b195899 スバル サンバートラック KS4 フロアマット ゴム製 フロント 左右 410 KS3 バン KV3 KV4,1980,2480,https://500yenshop.com/en/yahoo-auctions/detail?id=j1215469043,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/de61749289efddbab1a92b53b471daaaf12f6289aaf564cc53b8f550fc31e53e/i-img1200x900-17680360999134eafrt021516.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F4),IMAGE(F4,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B4,""ja"",""en"")"
v1206718128,■サンバー KS3 KS4 KV3 KV4 フロント キャリパーシールキット ミヤコ自動車 miyaco 送料無料,,3730,https://500yenshop.com/en/yahoo-auctions/detail?id=v1206718128,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0111/user/782a92a60f09cbe13e52221276ab7775eb2109b4fb6f6e71e400cd96390134bd/i-img600x450-17623270345434r7ugtt26090.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F5),IMAGE(F5,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B5,""ja"",""en"")"
w1215472762,_b195899 スバル サンバートラック KS4 サスペンション スプリング リア リヤ 左右 KS3 バン KV3 KV4,2480,2980,https://500yenshop.com/en/yahoo-auctions/detail?id=w1215472762,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/de61749289efddbab1a92b53b471daaaf12f6289aaf564cc53b8f550fc31e53e/i-img1200x900-17680358504192pdhcts34.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F6),IMAGE(F6,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B6,""ja"",""en"")"
n1214971511,スバル　サンバー　KS3 KS4 KV3 KV4 フロントウィンカー　スケルトンブルー,6000,,https://500yenshop.com/en/yahoo-auctions/detail?id=n1214971511,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/1a0176333e5258688f6debe44b152f03e036674aa820c8d1541fd741df58a555/i-img1200x900-176769341614449md5qc38823.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F7),IMAGE(F7,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B7,""ja"",""en"")"
p1216168470,希少パーツ スバル サンバー ディアスバン KV3 KV4 TV1 TV2 TW1 TW2 フロントメッキドアノブ ドアハンドル アウターハンドル左右,,8000,https://500yenshop.com/en/yahoo-auctions/detail?id=p1216168470,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/f2a705486eb8832243f3cf22f65e37d83269036209d4440bfcc59605caf456d9/i-img1024x768-1768537458491448yj3rtq31.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F8),IMAGE(F8,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B8,""ja"",""en"")"
e1215444043,★即決　新品　スバルサンバーディアスKS4KV4TT2 ルームランプレンズ　純正品番84910TA150①,,900,https://500yenshop.com/en/yahoo-auctions/detail?id=e1215444043,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/bbfb271b0e8d708035ca5c7c7543961aa402dd45b3209f59a660b27d43dc87e9/i-img1200x1200-17680164791100574y9ici31.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F9),IMAGE(F9,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B9,""ja"",""en"")"
g1214695243,スバル サンバー(KS3 KS4 KV3 KV4 TW1 TW2 TV1 TV2 TT1 TT2) スターターモーター セルモーター 23300KA451 23300KA541 コア返却不要,,9570,https://500yenshop.com/en/yahoo-auctions/detail?id=g1214695243,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/c917fb5ad570c88ea4eef752f0845fa166e07942addbb33c366c8111296f5ac0/i-img600x450-17675141049517hlqgnk12325.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F10),IMAGE(F10,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B10,""ja"",""en"")"
n1215976099,★スバル サンバー KV3 KV4 KS3 KS4 キャブ車用 純正 フューエルポンプ 燃料ポンプ 42021-TA041 新品,9980,10800,https://500yenshop.com/en/yahoo-auctions/detail?id=n1215976099,https://doko.girly.jp/img/image.php?i=https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0201/user/1044dcf215e00d07bac77b47b463b9f1ac5fecf9d02ceae903ded013bda839aa/i-img350x350-1768433946737896jn2nhd25.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200,"=IF(LEN(F11),IMAGE(F11,"""",3,160,160),"""")",https://500yenshop.com/en/yahoo-auctions/list?cid=All&search=334460&s=%E3%82%B5%E3%83%B3%E3%83%90%E3%83%BC+kv4+KV4&translate=0&page=1,"=TRANSLATE(B11,""ja"",""en"")"
